"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"98996","2026-02-18 22:00:00 GMT","DAILY_FINANCING","","","","","","","","","","","-1.94210","","","","","","","13161.02"
"","2026-02-18 22:00:00 GMT","DAILY_FINANCING","Trade ID: 98984","EUR/USD","","","","","","","","","0.58000","","","","","","",""
"","2026-02-18 22:00:00 GMT","DAILY_FINANCING","Trade ID: 98955","EUR/GBP","","","","","","","","","-1.49260","","","","","","",""
"","2026-02-18 22:00:00 GMT","DAILY_FINANCING","Trade ID: 98992","USD/CAD","","","","","","","","","0.37290","","","","","","",""
"","2026-02-18 22:00:00 GMT","DAILY_FINANCING","Trade ID: 98988","GBP/USD","","","","","","","","","-0.95690","","","","","","",""
"","2026-02-18 22:00:00 GMT","DAILY_FINANCING","Trade ID: 98962","AUD/USD","","","","","","","","","-0.44550","","","","","","",""
"98997","2026-02-19 04:29:26 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","GBP/USD","1.34857","33909.00","Buy","1.7602","","","","","0.00000","0.0000","0.0000","","0.7379","102.83220","","13263.85"
"98998","2026-02-19 04:29:26 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"98999","2026-02-19 10:45:41 GMT","LIMIT_ORDER","CLIENT_ORDER","GBP/USD","1.34894","32500.00","Sell","","1.35486","","1.34486","","","","","","","","",""
"99000","2026-02-19 10:47:35 GMT","LIMIT_ORDER","CLIENT_ORDER","GBP/USD","1.34886","32497.00","Sell","","1.35478","","1.34478","","","","","","","","",""
"99001","2026-02-19 10:48:12 GMT","ORDER_FILL","LIMIT_ORDER","GBP/USD","1.34886","32497.00","Sell","1.6864","","","","","0.00000","0.0000","0.0000","","","0.00000","","13263.85"
"99002","2026-02-19 10:48:12 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.34478","","","","","","","","","","","","","","",""
"99003","2026-02-19 10:48:12 GMT","STOP_LOSS_ORDER","ON_FILL","","1.35478","","","","","","","","","","","","","","",""
"99004","2026-02-19 10:48:41 GMT","ORDER_FILL","LIMIT_ORDER","GBP/USD","1.34895","32500.00","Sell","1.9273","","","","","0.00000","0.0000","0.0000","","","0.00000","","13263.85"
"99005","2026-02-19 10:48:41 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.34486","","","","","","","","","","","","","","",""
"99006","2026-02-19 10:48:41 GMT","STOP_LOSS_ORDER","ON_FILL","","1.35486","","","","","","","","","","","","","","",""
"99007","2026-02-19 11:37:57 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.17777","33840.00","Buy","1.0051","","","","","0.00000","0.0000","0.0000","","0.7388","101.75540","","13365.61"
"99008","2026-02-19 11:37:57 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99009","2026-02-19 12:41:03 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.17720","33056.00","Sell","","1.18312","","1.17312","","","","","","","","",""
"99010","2026-02-19 12:41:09 GMT","ORDER_FILL","LIMIT_ORDER","EUR/USD","1.17721","33056.00","Sell","0.7364","","","","","0.00000","0.0000","0.0000","","","0.00000","","13365.61"
"99011","2026-02-19 12:41:09 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.17312","","","","","","","","","","","","","","",""
"99012","2026-02-19 12:41:09 GMT","STOP_LOSS_ORDER","ON_FILL","","1.18312","","","","","","","","","","","","","","",""
"99013","2026-02-19 14:10:01 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","GBP/USD","1.34486","32500.00","Buy","1.4500","","","","","0.00000","0.0000","0.0000","","0.7399","98.34950","","13463.96"
"99014","2026-02-19 14:10:01 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99015","2026-02-19 14:10:03 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","GBP/USD","1.34477","32497.00","Buy","1.2083","","","","","0.00000","0.0000","0.0000","","0.7399","98.34620","","13562.31"
"99016","2026-02-19 14:10:03 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99017","2026-02-19 14:12:17 GMT","LIMIT_ORDER","CLIENT_ORDER","GBP/USD","1.34463","34176.00","Sell","","1.35056","","1.34056","","","","","","","","",""
"99018","2026-02-19 14:12:30 GMT","ORDER_FILL","LIMIT_ORDER","GBP/USD","1.34463","34176.00","Sell","1.3979","","","","","0.00000","0.0000","0.0000","","","0.00000","","13562.31"
"99019","2026-02-19 14:12:30 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.34056","","","","","","","","","","","","","","",""
"99020","2026-02-19 14:12:30 GMT","STOP_LOSS_ORDER","ON_FILL","","1.35056","","","","","","","","","","","","","","",""
"99021","2026-02-19 14:36:28 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","USD/CAD","1.37130","46148.00","Sell","1.8787","","","","","0.00000","0.0000","0.0000","","0.5401","102.93650","","13665.24"
"99022","2026-02-19 14:36:28 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99023","2026-02-19 14:39:16 GMT","LIMIT_ORDER","CLIENT_ORDER","USD/CAD","1.37092","49010.00","Buy","","1.36501","","1.37501","","","","","","","","",""
"99024","2026-02-19 14:41:58 GMT","LIMIT_ORDER","CLIENT_ORDER","USD/CAD","1.37150","47123.00","Buy","","1.36560","","1.37560","","","","","","","","",""
"99025","2026-02-19 14:42:00 GMT","ORDER_FILL","LIMIT_ORDER","USD/CAD","1.37150","47123.00","Buy","2.1734","","","","","0.00000","0.0000","0.0000","","","0.00000","","13665.24"
"99026","2026-02-19 14:42:00 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.37560","","","","","","","","","","","","","","",""
"99027","2026-02-19 14:42:00 GMT","STOP_LOSS_ORDER","ON_FILL","","1.36560","","","","","","","","","","","","","","",""
"99028","2026-02-19 14:44:10 GMT","ORDER_FILL","LIMIT_ORDER","USD/CAD","1.37091","49010.00","Buy","2.2604","","","","","0.00000","0.0000","0.0000","","","0.00000","","13665.24"
"99029","2026-02-19 14:44:10 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.37501","","","","","","","","","","","","","","",""
"99030","2026-02-19 14:44:10 GMT","STOP_LOSS_ORDER","ON_FILL","","1.36501","","","","","","","","","","","","","","",""
"99031","2026-02-19 22:00:00 GMT","DAILY_FINANCING","","","","","","","","","","","-1.46900","","","","","","","13663.77"
"","2026-02-19 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99010","EUR/USD","","","","","","","","","0.59090","","","","","","",""
"","2026-02-19 22:00:00 GMT","DAILY_FINANCING","Trade ID: 98955","EUR/GBP","","","","","","","","","-1.51040","","","","","","",""
"","2026-02-19 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99025","USD/CAD","","","","","","","","","0.42930","","","","","","",""
"","2026-02-19 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99028","USD/CAD","","","","","","","","","0.44650","","","","","","",""
"","2026-02-19 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99018","GBP/USD","","","","","","","","","-0.97380","","","","","","",""
"","2026-02-19 22:00:00 GMT","DAILY_FINANCING","Trade ID: 98962","AUD/USD","","","","","","","","","-0.45150","","","","","","",""
"99032","2026-02-20 01:50:55 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","AUD/USD","0.70241","28179.00","Buy","1.5723","","","","","0.00000","0.0000","0.0000","","0.7402","85.72880","","13749.50"
"99033","2026-02-20 01:50:55 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99034","2026-02-20 01:52:23 GMT","LIMIT_ORDER","CLIENT_ORDER","AUD/USD","0.70280","29716.00","Sell","","0.70870","","0.69870","","","","","","","","",""
"99035","2026-02-20 01:52:27 GMT","ORDER_FILL","LIMIT_ORDER","AUD/USD","0.70281","29716.00","Sell","1.4367","","","","","0.00000","0.0000","0.0000","","","0.00000","","13749.50"
"99036","2026-02-20 01:52:27 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.69870","","","","","","","","","","","","","","",""
"99037","2026-02-20 01:52:27 GMT","STOP_LOSS_ORDER","ON_FILL","","0.70870","","","","","","","","","","","","","","",""
"99038","2026-02-20 02:22:26 GMT","LIMIT_ORDER","CLIENT_ORDER","NZD/USD","0.59419","30424.00","Sell","","0.60008","","0.59008","","","","","","","","",""
"99039","2026-02-20 02:23:11 GMT","ORDER_FILL","LIMIT_ORDER","NZD/USD","0.59419","30424.00","Sell","1.9245","","","","","0.00000","0.0000","0.0000","","","0.00000","","13749.50"
"99040","2026-02-20 02:23:11 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.59008","","","","","","","","","","","","","","",""
"99041","2026-02-20 02:23:11 GMT","STOP_LOSS_ORDER","ON_FILL","","0.60008","","","","","","","","","","","","","","",""
"99042","2026-02-20 15:01:44 GMT","ORDER_FILL","STOP_LOSS_ORDER","AUD/USD","0.70870","29716.00","Buy","1.9809","","","","","0.00000","0.0000","0.0000","","0.7444","-130.28500","","13619.22"
"99043","2026-02-20 15:01:44 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99044","2026-02-20 15:13:41 GMT","ORDER_FILL","STOP_LOSS_ORDER","GBP/USD","1.35057","34176.00","Buy","1.8980","","","","","0.00000","0.0000","0.0000","","0.7442","-151.07090","","13468.15"
"99045","2026-02-20 15:13:41 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
